sex,birth,education,family,job,rich,religion,voting,politics,x,y,location,lang
m,1980,4,4,13,1,8,11,3,-0.23,-0.68,,r
m,,1,1,7,,8,,1,0.15,-0.6,0,r
m,,5,2,9,1,8,11,2,-0.2,-0.7,0,r
m,1984,1,2,8,6,4,11,3,-0.35,-0.1,32,r
m,1978,3,3,12,1,8,11,2,0.05,-0.5,0,r
m,,1,1,8,4,1,1,2,-0.35,0.28,0,r
f,1979,1,4,1,2,1,11,2,0.48,-0.35,46,r
f,1979,1,4,1,2,1,11,2,0.43,-0.48,14,r
f,1979,1,2,4,5,8,6,1,-0.2,-0.28,,r
m,1982,1,3,6,4,1,11,3,-0.23,-0.15,0,r
f,1986,1,1,13,2,8,1,3,-0.13,-0.63,32,r
f,,1,4,16,,8,,3,-0.2,-0.68,,r
f,1992,1,2,6,5,8,11,1,-0.38,-0.75,,r
f,1970,3,3,7,4,1,11,2,-0.4,0,63,r
m,1964,1,1,6,5,8,1,1,-0.03,-0.28,0,r
f,1963,5,1,5,2,8,6,3,-0.05,-0.38,,r
m,1994,3,2,9,6,3,10,2,0.28,-0.15,0,r
f,,,,5,,,,,-0.9,-0.45,0,r
m,1975,5,1,7,6,9,10,3,0.28,-0.7,0,r
f,1962,1,1,12,1,8,1,2,0.03,-0.35,,r
m,,1,1,4,5,9,11,3,-0.13,0.15,0,r
m,,1,2,6,5,1,2,1,-0.23,-0.33,63,r
m,1988,5,4,15,2,2,11,2,0.48,0.3,0,r
m,1988,1,1,1,6,1,11,2,0.33,-0.23,,r
m,1984,1,2,16,4,8,11,3,-0.03,0,0,r
m,1977,1,1,4,4,1,11,1,-0.18,-0.3,43,r
m,1977,1,1,6,5,8,11,1,0.03,-0.78,,r
m,1987,1,1,4,3,8,5,1,0.18,0.13,21,r
m,1967,1,1,7,7,8,11,1,0.4,-0.43,32,r
m,1980,,,5,,,,,0.03,-0.35,0,r
m,1998,3,2,9,1,1,11,2,0.35,-0.63,7,r
m,1997,3,2,9,1,1,10,2,-0.15,-0.15,59,r
